REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,PWRWONKENXX01,1,2042,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2042,4.02835150824344
GLOBAL,S3D3,RNWGEOTZAXX,1,2042,7.1817493280424225
GLOBAL,S3D3,RNWHYDKENXX,1,2042,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2042,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2042,3.3913853526095843
GLOBAL,S3D3,RNWSPVTZAXX,1,2042,4.9090330529726165
GLOBAL,S3D3,RNWWONKENXX,1,2042,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2042,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2043,4.279020048420048
GLOBAL,S3D3,PWRGEOTZAXX01,1,2043,7.567977551413861
GLOBAL,S3D3,PWRHYDKENXX01,1,2043,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2043,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2043,3.563716812432977
GLOBAL,S3D3,PWRSPVTZAXX01,1,2043,5.159404829601178
GLOBAL,S3D3,PWRTRNKENXX,1,2043,8.7474
GLOBAL,S3D3,PWRTRNTZAXX,1,2043,13.1184
GLOBAL,S3D3,PWRWONKENXX01,1,2043,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2043,4.279020048420048
GLOBAL,S3D3,RNWGEOTZAXX,1,2043,7.567977551413861
GLOBAL,S3D3,RNWHYDKENXX,1,2043,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2043,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2043,3.563716812432977
GLOBAL,S3D3,RNWSPVTZAXX,1,2043,5.159404829601178
GLOBAL,S3D3,RNWWONKENXX,1,2043,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2043,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2044,4.528574588596654
GLOBAL,S3D3,PWRGEOTZAXX01,1,2044,7.954569797616
GLOBAL,S3D3,PWRHYDKENXX01,1,2044,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2044,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2044,3.7360482722563697
GLOBAL,S3D3,PWRSPVTZAXX01,1,2044,5.410012583399038
GLOBAL,S3D3,PWRTRNKENXX,1,2044,9.1704
GLOBAL,S3D3,PWRTRNTZAXX,1,2044,13.755599999999998
GLOBAL,S3D3,PWRWONKENXX01,1,2044,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2044,4.528574588596654
GLOBAL,S3D3,RNWGEOTZAXX,1,2044,7.954569797616
GLOBAL,S3D3,RNWHYDKENXX,1,2044,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2044,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2044,3.7360482722563697
GLOBAL,S3D3,RNWSPVTZAXX,1,2044,5.410012583399038
GLOBAL,S3D3,RNWWONKENXX,1,2044,0.10209977099999999
GLOBAL,S3D3,PWRGEOKENXX01,1,2045,4.7792431287732615
